"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"12/15/2019 1 p.m. EST",25417,24982,19914,-3675
CAL,"12/15/2019 2 p.m. EST",25141,24446,20461,-3187
CAL,"12/15/2019 3 p.m. EST",24906,24001,19972,-2886
CAL,"12/15/2019 4 p.m. EST",24751,23945,20242,-2751
CAL,"12/15/2019 5 p.m. EST",25004,24027,20185,-2981
CAL,"12/15/2019 6 p.m. EST",25442,24709,18901,-3575
CAL,"12/15/2019 7 p.m. EST",26561,25896,16695,-5585
CAL,"12/15/2019 8 p.m. EST",29433,28543,18072,-7730
CAL,"12/15/2019 9 p.m. EST",33141,32196,18396,-9791
CAL,"12/15/2019 10 p.m. EST",33786,32813,18545,-10443
CAL,"12/15/2019 11 p.m. EST",33708,32498,18515,-10305
CAL,"12/16/2019 12 a.m. EST",33226,31904,17984,-10007
CAL,"12/16/2019 1 a.m. EST",32043,30753,17201,-9844
CAL,"12/16/2019 2 a.m. EST",29874,28900,16337,-9247
CAL,"12/16/2019 3 a.m. EST",27751,26936,15328,-8808
CAL,"12/16/2019 4 a.m. EST",26474,25336,14551,-8100
CAL,"12/16/2019 5 a.m. EST",25660,24566,14212,-7932
CAL,"12/16/2019 6 a.m. EST",25220,24122,14119,-7607
CAL,"12/16/2019 7 a.m. EST",25295,24238,14548,-7493
CAL,"12/16/2019 8 a.m. EST",26189,25163,15397,-7474
CAL,"12/16/2019 9 a.m. EST",28454,27352,16891,-8066
CAL,"12/16/2019 10 a.m. EST",31858,30586,18705,-8885
CAL,"12/16/2019 11 a.m. EST",33407,32100,21316,-9041
CAL,"12/16/2019 12 p.m. EST",32248,31518,22151,-7128
CAL,"12/16/2019 1 p.m. EST",30886,30484,22421,-5826
CAL,"12/16/2019 2 p.m. EST",29728,29490,22034,-5078
CAL,"12/16/2019 3 p.m. EST",28717,28794,22059,-4044
CAL,"12/16/2019 4 p.m. EST",28419,28419,22365,-3945
CAL,"12/16/2019 5 p.m. EST",28475,28580,22531,-3941
CAL,"12/16/2019 6 p.m. EST",28957,28999,20871,-4908
CAL,"12/16/2019 7 p.m. EST",30443,30012,18314,-7041
CAL,"12/16/2019 8 p.m. EST",33153,32364,20950,-8870
CAL,"12/16/2019 9 p.m. EST",36580,35865,22011,-9121
CAL,"12/16/2019 10 p.m. EST",37027,36174,21864,-9333
CAL,"12/16/2019 11 p.m. EST",36661,35709,21830,-9347
CAL,"12/17/2019 12 a.m. EST",35917,34823,20998,-9211
CAL,"12/17/2019 1 a.m. EST",34400,33274,19986,-9400
CAL,"12/17/2019 2 a.m. EST",31899,30874,18666,-8592
CAL,"12/17/2019 3 a.m. EST",29464,28552,17204,-7900
CAL,"12/17/2019 4 a.m. EST",27903,27155,16871,-7676
CAL,"12/17/2019 5 a.m. EST",26881,26222,16271,-7156
CAL,"12/17/2019 6 a.m. EST",26241,25599,16029,-6569
CAL,"12/17/2019 7 a.m. EST",26170,25593,16072,-6464
CAL,"12/17/2019 8 a.m. EST",26993,26448,16718,-7005
CAL,"12/17/2019 9 a.m. EST",29112,28573,18350,-7523
CAL,"12/17/2019 10 a.m. EST",32407,31746,20175,-8536
CAL,"12/17/2019 11 a.m. EST",33833,33131,22020,-8840
CAL,"12/17/2019 12 p.m. EST",33162,32728,22339,-8060
CAL,"12/17/2019 1 p.m. EST",32296,31982,23113,-7325
CAL,"12/17/2019 2 p.m. EST",31228,31356,22974,-5875
CAL,"12/17/2019 3 p.m. EST",30213,30838,22301,-5339
CAL,"12/17/2019 4 p.m. EST",29865,30527,21995,-5407
CAL,"12/17/2019 5 p.m. EST",30124,30545,21528,-6377
CAL,"12/17/2019 6 p.m. EST",30520,30604,20555,-7128
CAL,"12/17/2019 7 p.m. EST",31555,31338,19981,-7537
CAL,"12/17/2019 8 p.m. EST",33604,33472,22145,-8037
CAL,"12/17/2019 9 p.m. EST",36523,36398,21893,-8808
CAL,"12/17/2019 10 p.m. EST",36954,36696,22340,-9058
CAL,"12/17/2019 11 p.m. EST",36658,36223,22490,-8585
CAL,"12/18/2019 12 a.m. EST",35920,35282,21822,-8841
CAL,"12/18/2019 1 a.m. EST",34434,33759,20737,-8822
CAL,"12/18/2019 2 a.m. EST",31831,31384,19334,-7732
CAL,"12/18/2019 3 a.m. EST",29405,29064,18162,-7106
CAL,"12/18/2019 4 a.m. EST",27758,27124,16825,-7019
CAL,"12/18/2019 5 a.m. EST",26683,26158,16406,-6978
CAL,"12/18/2019 6 a.m. EST",26119,25564,16036,-6734
CAL,"12/18/2019 7 a.m. EST",26074,25517,16546,-6715
CAL,"12/18/2019 8 a.m. EST",26893,26271,17099,-6594
CAL,"12/18/2019 9 a.m. EST",28967,28268,18381,-6973
CAL,"12/18/2019 10 a.m. EST",32202,31403,20081,-8698
CAL,"12/18/2019 11 a.m. EST",33731,32927,21091,-8762
CAL,"12/18/2019 12 p.m. EST",33712,32562,22423,-8534
CAL,"12/18/2019 1 p.m. EST",33389,31923,22447,-7683
CAL,"12/18/2019 2 p.m. EST",32804,31189,23260,-6954
CAL,"12/18/2019 3 p.m. EST",31763,30480,22201,-6744
CAL,"12/18/2019 4 p.m. EST",31054,30101,22462,-6660
CAL,"12/18/2019 5 p.m. EST",30867,30116,22406,-6228
CAL,"12/18/2019 6 p.m. EST",31229,30447,22624,-6339
CAL,"12/18/2019 7 p.m. EST",31897,31257,21102,-6300
CAL,"12/18/2019 8 p.m. EST",33872,33365,21997,-8150
CAL,"12/18/2019 9 p.m. EST",36685,36443,23155,-8952
CAL,"12/18/2019 10 p.m. EST",36979,36681,21987,-9090
CAL,"12/18/2019 11 p.m. EST",36525,36166,22227,-9576
CAL,"12/19/2019 12 a.m. EST",35791,35254,21116,-9471
CAL,"12/19/2019 1 a.m. EST",34429,33752,19863,-9361
CAL,"12/19/2019 2 a.m. EST",31998,31413,18600,-8424
CAL,"12/19/2019 3 a.m. EST",29554,29122,18021,-7792
CAL,"12/19/2019 4 a.m. EST",28350,26793,17099,-7943
CAL,"12/19/2019 5 a.m. EST",27331,25772,16769,-7795
CAL,"12/19/2019 6 a.m. EST",26759,25164,16700,-7549
CAL,"12/19/2019 7 a.m. EST",26654,25095,16689,-7563
CAL,"12/19/2019 8 a.m. EST",27351,25861,16765,-7608
CAL,"12/19/2019 9 a.m. EST",29084,27896,17877,-8005
CAL,"12/19/2019 10 a.m. EST",32247,30819,18975,-8916
CAL,"12/19/2019 11 a.m. EST",33744,32205,21858,-9394
CAL,"12/19/2019 12 p.m. EST",32743,31795,22879,-7582
CAL,"12/19/2019 1 p.m. EST",31482,30920,22835,-5371
CAL,"12/19/2019 2 p.m. EST",30543,30044,22899,-5089
CAL,"12/19/2019 3 p.m. EST",29527,29286,22040,-4859
CAL,"12/19/2019 4 p.m. EST",28857,28835,21925,-4872
CAL,"12/19/2019 5 p.m. EST",28935,28846,21550,-4894
CAL,"12/19/2019 6 p.m. EST",29432,29363,20723,-5782
CAL,"12/19/2019 7 p.m. EST",5719,30196,6108,-6750
CAL,"12/19/2019 8 p.m. EST",6103,32342,6475,-9122
CAL,"12/19/2019 9 p.m. EST",6597,35617,7384,-9821
CAL,"12/19/2019 10 p.m. EST",36126,35930,20397,-10187
CAL,"12/19/2019 11 p.m. EST",35784,35466,20209,-10244
CAL,"12/20/2019 12 a.m. EST",35091,34666,19575,-10594
CAL,"12/20/2019 1 a.m. EST",33763,33311,18541,-10327
CAL,"12/20/2019 2 a.m. EST",31678,31073,17608,-9628
CAL,"12/20/2019 3 a.m. EST",29305,28801,16655,-8952
CAL,"12/20/2019 4 a.m. EST",27769,26484,15544,-8640
CAL,"12/20/2019 5 a.m. EST",26690,25470,15160,-8262
CAL,"12/20/2019 6 a.m. EST",26082,24902,15011,-7990
CAL,"12/20/2019 7 a.m. EST",25956,24827,14938,-7926
CAL,"12/20/2019 8 a.m. EST",26692,25529,15261,-8064
CAL,"12/20/2019 9 a.m. EST",28649,27478,15950,-9392
CAL,"12/20/2019 10 a.m. EST",31660,30389,17982,-10591
CAL,"12/20/2019 11 a.m. EST",32959,31728,20299,-10579
CAL,"12/20/2019 12 p.m. EST",31978,31311,20965,-8948
CAL,"12/20/2019 1 p.m. EST",30930,30515,20614,-7897
CAL,"12/20/2019 2 p.m. EST",29924,29700,20339,-7108
CAL,"12/20/2019 3 p.m. EST",29024,29095,20809,-6746
CAL,"12/20/2019 4 p.m. EST",28844,28729,19910,-6509
CAL,"12/20/2019 5 p.m. EST",29110,28893,19545,-7456
CAL,"12/20/2019 6 p.m. EST",29479,29365,18554,-7465
CAL,"12/20/2019 7 p.m. EST",30566,30113,17185,-8857
CAL,"12/20/2019 8 p.m. EST",32696,31861,18821,-10179
CAL,"12/20/2019 9 p.m. EST",35172,34704,19203,-10674
CAL,"12/20/2019 10 p.m. EST",35048,34704,18915,-10553
CAL,"12/20/2019 11 p.m. EST",34358,34006,18099,-10774
CAL,"12/21/2019 12 a.m. EST",33665,33116,18001,-10872
CAL,"12/21/2019 1 a.m. EST",33089,32047,17844,-10405
CAL,"12/21/2019 2 a.m. EST",30772,30209,16914,-9200
CAL,"12/21/2019 3 a.m. EST",28699,28142,15502,-8766
CAL,"12/21/2019 4 a.m. EST",27196,26447,14848,-8191
CAL,"12/21/2019 5 a.m. EST",26057,25339,14259,-7972
CAL,"12/21/2019 6 a.m. EST",25364,24614,14226,-7555
CAL,"12/21/2019 7 a.m. EST",31599,24291,14220,-7297
CAL,"12/21/2019 8 a.m. EST",25144,24480,14450,-7244
CAL,"12/21/2019 9 a.m. EST",25929,25376,14685,-7395
CAL,"12/21/2019 10 a.m. EST",27355,26790,15749,-8113
CAL,"12/21/2019 11 a.m. EST",32189,27549,17355,-8449
CAL,"12/21/2019 12 p.m. EST",32405,27774,17493,-8387
CAL,"12/21/2019 1 p.m. EST",29039,27350,18251,-8221
CAL,"12/21/2019 2 p.m. EST",32490,26675,18415,-7638
CAL,"12/21/2019 3 p.m. EST",27898,26118,18187,-7327
CAL,"12/21/2019 4 p.m. EST",32370,25827,17822,-7384
CAL,"12/21/2019 5 p.m. EST",27363,25859,17127,-7307
CAL,"12/21/2019 6 p.m. EST",32278,26312,16526,-7628
CAL,"12/21/2019 7 p.m. EST",28792,27258,15985,-8309
CAL,"12/21/2019 8 p.m. EST",30668,29276,16635,-9826
CAL,"12/21/2019 9 p.m. EST",33339,32332,17031,-11082
CAL,"12/21/2019 10 p.m. EST",33370,32605,18012,-11165
CAL,"12/21/2019 11 p.m. EST",33037,32048,17368,-10628
CAL,"12/22/2019 12 a.m. EST",32297,31221,17407,-10592
CAL,"12/22/2019 1 a.m. EST",31341,30242,17289,-9867
CAL,"12/22/2019 2 a.m. EST",32475,28730,16747,-8878
CAL,"12/22/2019 3 a.m. EST",32132,26995,15721,-7969
CAL,"12/22/2019 4 a.m. EST",26438,25773,15550,-7280
CAL,"12/22/2019 5 a.m. EST",25346,24761,14767,-6889
CAL,"12/22/2019 6 a.m. EST",24640,24056,14445,-6544
CAL,"12/22/2019 7 a.m. EST",31433,23699,14636,-6262
CAL,"12/22/2019 8 a.m. EST",24250,23768,14893,-6191
CAL,"12/22/2019 9 a.m. EST",31596,24303,15065,-6238
CAL,"12/22/2019 10 a.m. EST",25928,25192,15522,-6817
CAL,"12/22/2019 11 a.m. EST",31952,25756,17064,-7264
CAL,"12/22/2019 12 p.m. EST",27704,25964,18799,-6734
CAL,"12/22/2019 1 p.m. EST",27866,26076,18760,-6521
CAL,"12/22/2019 2 p.m. EST",27961,25890,19363,-6385
CAL,"12/22/2019 3 p.m. EST",27770,25568,19040,-6326
CAL,"12/22/2019 4 p.m. EST",27503,25430,18635,-6211
CAL,"12/22/2019 5 p.m. EST",27711,25494,17934,-6462
CAL,"12/22/2019 6 p.m. EST",28174,26124,17594,-7401
CAL,"12/22/2019 7 p.m. EST",28781,27001,17347,-7535
CAL,"12/22/2019 8 p.m. EST",30601,29235,18019,-8452
CAL,"12/22/2019 9 p.m. EST",33197,32460,19126,-9372
CAL,"12/22/2019 10 p.m. EST",33296,32964,19053,-9418
CAL,"12/22/2019 11 p.m. EST",32929,32618,18555,-9351
CAL,"12/23/2019 12 a.m. EST",32357,31887,17632,-9323
CAL,"12/23/2019 1 a.m. EST",31344,30840,18141,-9040
CAL,"12/23/2019 2 a.m. EST",29469,28969,16859,-8302
CAL,"12/23/2019 3 a.m. EST",27440,27032,15959,-7677
CAL,"12/23/2019 4 a.m. EST",26105,25745,15536,-6991
CAL,"12/23/2019 5 a.m. EST",25116,24923,14894,-6801
CAL,"12/23/2019 6 a.m. EST",24637,24454,15099,-6637
CAL,"12/23/2019 7 a.m. EST",24745,24438,15973,-6253
CAL,"12/23/2019 8 a.m. EST",25459,25269,16352,-6099
CAL,"12/23/2019 9 a.m. EST",27044,27183,16918,-6763
CAL,"12/23/2019 10 a.m. EST",29159,30101,17484,-7857
CAL,"12/23/2019 11 a.m. EST",31085,31814,18686,-8703
CAL,"12/23/2019 12 p.m. EST",32370,32198,19617,-8728
CAL,"12/23/2019 1 p.m. EST",32862,31825,20095,-8944
CAL,"12/23/2019 2 p.m. EST",32655,31237,19958,-8842
CAL,"12/23/2019 3 p.m. EST",32197,30597,19825,-8842
CAL,"12/23/2019 4 p.m. EST",31740,30193,19442,-8979
CAL,"12/23/2019 5 p.m. EST",31350,30174,19040,-9161
CAL,"12/23/2019 6 p.m. EST",31341,30362,19191,-8973
CAL,"12/23/2019 7 p.m. EST",31666,30973,18737,-8825
CAL,"12/23/2019 8 p.m. EST",33089,32869,19570,-9180
CAL,"12/23/2019 9 p.m. EST",35556,35941,20301,-9825
CAL,"12/23/2019 10 p.m. EST",35634,36380,20578,-9638
CAL,"12/23/2019 11 p.m. EST",35119,35934,20501,-9486
CAL,"12/24/2019 12 a.m. EST",34421,35037,19723,-9520
CAL,"12/24/2019 1 a.m. EST",33252,33605,19484,-9090
CAL,"12/24/2019 2 a.m. EST",31308,31275,18347,-8592
CAL,"12/24/2019 3 a.m. EST",29095,29106,17187,-8217
CAL,"12/24/2019 4 a.m. EST",27278,26963,16412,-7222
CAL,"12/24/2019 5 a.m. EST",26111,25916,16079,-6925
CAL,"12/24/2019 6 a.m. EST",25599,25270,16373,-6509
CAL,"12/24/2019 7 a.m. EST",25429,25030,16180,-6473
CAL,"12/24/2019 8 a.m. EST",25812,25312,16190,-6472
CAL,"12/24/2019 9 a.m. EST",27022,26342,16877,-6935
CAL,"12/24/2019 10 a.m. EST",28887,28071,18210,-7675
CAL,"12/24/2019 11 a.m. EST",30027,29348,19540,-7935
CAL,"12/24/2019 12 p.m. EST",30012,29670,20216,-7143
CAL,"12/24/2019 1 p.m. EST",29176,29407,21126,-5709
CAL,"12/24/2019 2 p.m. EST",28617,28952,21752,-5035
CAL,"12/24/2019 3 p.m. EST",28155,28417,22027,-4579
CAL,"12/24/2019 4 p.m. EST",27958,28101,22203,-4144
CAL,"12/24/2019 5 p.m. EST",28256,28158,22219,-4133
CAL,"12/24/2019 6 p.m. EST",28290,28583,20130,-4411
CAL,"12/24/2019 7 p.m. EST",29084,29263,18261,-5900
CAL,"12/24/2019 8 p.m. EST",30765,31131,19172,-7004
CAL,"12/24/2019 9 p.m. EST",33125,34071,19092,-8521
CAL,"12/24/2019 10 p.m. EST",32461,33919,18673,-8495
CAL,"12/24/2019 11 p.m. EST",31489,33314,18265,-8492
CAL,"12/25/2019 12 a.m. EST",30791,32551,17993,-8252
CAL,"12/25/2019 1 a.m. EST",30142,31552,17777,-8272
CAL,"12/25/2019 2 a.m. EST",28988,29923,17135,-7703
CAL,"12/25/2019 3 a.m. EST",27491,28160,16601,-7268
CAL,"12/25/2019 4 a.m. EST",26218,26359,15818,-6815
CAL,"12/25/2019 5 a.m. EST",25390,25432,15170,-6985
CAL,"12/25/2019 6 a.m. EST",24860,24777,15238,-7000
CAL,"12/25/2019 7 a.m. EST",24441,24507,15276,-6635
CAL,"12/25/2019 8 a.m. EST",24508,24689,15542,-6571
CAL,"12/25/2019 9 a.m. EST",25081,25399,15686,-6674
CAL,"12/25/2019 10 a.m. EST",25964,26646,16144,-6967
CAL,"12/25/2019 11 a.m. EST",26484,27472,17898,-6527
CAL,"12/25/2019 12 p.m. EST",26429,27986,20089,-5491
CAL,"12/25/2019 1 p.m. EST",25894,28244,20802,-3642
CAL,"12/25/2019 2 p.m. EST",26068,28065,20811,-3787
CAL,"12/25/2019 3 p.m. EST",26067,27743,20305,-3843
CAL,"12/25/2019 4 p.m. EST",26303,27346,20389,-4583
CAL,"12/25/2019 5 p.m. EST",26354,27183,19013,-5375
CAL,"12/25/2019 6 p.m. EST",26649,27302,17051,-6235
CAL,"12/25/2019 7 p.m. EST",27097,27897,16080,-7263
CAL,"12/25/2019 8 p.m. EST",28874,29495,16582,-8284
CAL,"12/25/2019 9 p.m. EST",31113,31762,17034,-9331
CAL,"12/25/2019 10 p.m. EST",31134,32079,16909,-9151
CAL,"12/25/2019 11 p.m. EST",30939,31922,17128,-9120
CAL,"12/26/2019 12 a.m. EST",30710,31402,17510,-9412
CAL,"12/26/2019 1 a.m. EST",29989,30495,17604,-8537
CAL,"12/26/2019 2 a.m. EST",28601,28942,16558,-8019
CAL,"12/26/2019 3 a.m. EST",26994,27168,16284,-7699
CAL,"12/26/2019 4 a.m. EST",25654,26242,15416,-6776
CAL,"12/26/2019 5 a.m. EST",24960,25364,14896,-6742
CAL,"12/26/2019 6 a.m. EST",24724,24770,14674,-6991
CAL,"12/26/2019 7 a.m. EST",24714,24726,15087,-7135
CAL,"12/26/2019 8 a.m. EST",25298,25449,15370,-7120
CAL,"12/26/2019 9 a.m. EST",26438,27211,15988,-7034
CAL,"12/26/2019 10 a.m. EST",28624,29989,17121,-7686
CAL,"12/26/2019 11 a.m. EST",30184,31643,18202,-8111
CAL,"12/26/2019 12 p.m. EST",31085,31774,18965,-8135
CAL,"12/26/2019 1 p.m. EST",30908,31267,19307,-7902
CAL,"12/26/2019 2 p.m. EST",30502,30712,19609,-7741
CAL,"12/26/2019 3 p.m. EST",30199,29879,19637,-7550
CAL,"12/26/2019 4 p.m. EST",29660,29413,19398,-7235
CAL,"12/26/2019 5 p.m. EST",29625,29319,19512,-6973
CAL,"12/26/2019 6 p.m. EST",29870,29414,19434,-7081
CAL,"12/26/2019 7 p.m. EST",30611,30175,18731,-7853
CAL,"12/26/2019 8 p.m. EST",32493,31883,20152,-8178
CAL,"12/26/2019 9 p.m. EST",35461,35031,20601,-8975
CAL,"12/26/2019 10 p.m. EST",35796,35348,20814,-9457
CAL,"12/26/2019 11 p.m. EST",35288,34842,20320,-9458
CAL,"12/27/2019 12 a.m. EST",34653,34076,20408,-9442
CAL,"12/27/2019 1 a.m. EST",33480,32719,19939,-8853
CAL,"12/27/2019 2 a.m. EST",31331,30618,18421,-8047
CAL,"12/27/2019 3 a.m. EST",29155,28513,16831,-8243
CAL,"12/27/2019 4 a.m. EST",27650,26072,16157,-7812
CAL,"12/27/2019 5 a.m. EST",26769,25185,16243,-7522
CAL,"12/27/2019 6 a.m. EST",26348,24686,16097,-7314
CAL,"12/27/2019 7 a.m. EST",26131,24690,16484,-7081
CAL,"12/27/2019 8 a.m. EST",26520,25421,16344,-6865
CAL,"12/27/2019 9 a.m. EST",27786,27059,16422,-7408
CAL,"12/27/2019 10 a.m. EST",30045,29572,17218,-8914
CAL,"12/27/2019 11 a.m. EST",31234,30813,20325,-9179
CAL,"12/27/2019 12 p.m. EST",30691,30660,21169,-6748
CAL,"12/27/2019 1 p.m. EST",29616,29707,21015,-5690
CAL,"12/27/2019 2 p.m. EST",28440,28663,21044,-5203
CAL,"12/27/2019 3 p.m. EST",27612,27682,21384,-4464
CAL,"12/27/2019 4 p.m. EST",27110,27023,21548,-4117
CAL,"12/27/2019 5 p.m. EST",27253,26847,21385,-3875
CAL,"12/27/2019 6 p.m. EST",27372,27133,20247,-4275
CAL,"12/27/2019 7 p.m. EST",28686,28023,17491,-6168
CAL,"12/27/2019 8 p.m. EST",31203,30235,18128,-8732
CAL,"12/27/2019 9 p.m. EST",34377,33732,19316,-10173
CAL,"12/27/2019 10 p.m. EST",34747,34251,19370,-10457
CAL,"12/27/2019 11 p.m. EST",34391,33773,19183,-10037
CAL,"12/28/2019 12 a.m. EST",33816,33143,18875,-10102
CAL,"12/28/2019 1 a.m. EST",32765,32132,17858,-10106
CAL,"12/28/2019 2 a.m. EST",30964,30502,17189,-9590
CAL,"12/28/2019 3 a.m. EST",28914,28614,16678,-8685
CAL,"12/28/2019 4 a.m. EST",27401,26935,16051,-8103
CAL,"12/28/2019 5 a.m. EST",26374,25920,15115,-7601
CAL,"12/28/2019 6 a.m. EST",25682,25275,15171,-7760
CAL,"12/28/2019 7 a.m. EST",25446,25021,14915,-7587
CAL,"12/28/2019 8 a.m. EST",25627,25306,14921,-7685
CAL,"12/28/2019 9 a.m. EST",26504,26174,14545,-8300
CAL,"12/28/2019 10 a.m. EST",27864,27478,15746,-9604
CAL,"12/28/2019 11 a.m. EST",28432,28091,17464,-9120
CAL,"12/28/2019 12 p.m. EST",28055,27977,19082,-7666
CAL,"12/28/2019 1 p.m. EST",27119,27233,18208,-6194
CAL,"12/28/2019 2 p.m. EST",26441,26233,18840,-5998
CAL,"12/28/2019 3 p.m. EST",25776,25211,18275,-5554
CAL,"12/28/2019 4 p.m. EST",25238,24546,18724,-5251
CAL,"12/28/2019 5 p.m. EST",25040,24264,17903,-5049
CAL,"12/28/2019 6 p.m. EST",25491,24636,17172,-5645
CAL,"12/28/2019 7 p.m. EST",26591,25728,15265,-7105
CAL,"12/28/2019 8 p.m. EST",29076,28392,16488,-8927
CAL,"12/28/2019 9 p.m. EST",32547,32305,17622,-9895
CAL,"12/28/2019 10 p.m. EST",33078,32801,17675,-10339
CAL,"12/28/2019 11 p.m. EST",32824,32365,17881,-10398
CAL,"12/29/2019 12 a.m. EST",32378,31770,17655,-10253
CAL,"12/29/2019 1 a.m. EST",31446,31012,16951,-10466
CAL,"12/29/2019 2 a.m. EST",29841,29575,16318,-9601
CAL,"12/29/2019 3 a.m. EST",28020,27912,16097,-8675
CAL,"12/29/2019 4 a.m. EST",26596,26325,14954,-7935
CAL,"12/29/2019 5 a.m. EST",25559,25296,14646,-7643
CAL,"12/29/2019 6 a.m. EST",24924,24505,14579,-7254
CAL,"12/29/2019 7 a.m. EST",24620,24144,14548,-6821
CAL,"12/29/2019 8 a.m. EST",24670,24293,14328,-6966
CAL,"12/29/2019 9 a.m. EST",25224,24889,14716,-7324
CAL,"12/29/2019 10 a.m. EST",26243,25826,15410,-7640
CAL,"12/29/2019 11 a.m. EST",26590,26249,16698,-7642
CAL,"12/29/2019 12 p.m. EST",26644,26371,17302,-6921
CAL,"12/29/2019 1 p.m. EST",26679,26004,18234,-6383
CAL,"12/29/2019 2 p.m. EST",26329,25371,17623,-6237
CAL,"12/29/2019 3 p.m. EST",26100,24784,19350,-5786
CAL,"12/29/2019 4 p.m. EST",26516,24594,17767,-6030
CAL,"12/29/2019 5 p.m. EST",26446,24565,17959,-6343
CAL,"12/29/2019 6 p.m. EST",27062,24995,17206,-6903
CAL,"12/29/2019 7 p.m. EST",28152,26185,15953,-8024
CAL,"12/29/2019 8 p.m. EST",30182,28758,17482,-9028
CAL,"12/29/2019 9 p.m. EST",33071,32490,18034,-9965
CAL,"12/29/2019 10 p.m. EST",33337,33241,18027,-10189
CAL,"12/29/2019 11 p.m. EST",32980,32986,18112,-10062
CAL,"12/30/2019 12 a.m. EST",32238,32276,18390,-9365
CAL,"12/30/2019 1 a.m. EST",31114,31142,17749,-9016
CAL,"12/30/2019 2 a.m. EST",29178,29249,16699,-8299
CAL,"12/30/2019 3 a.m. EST",27145,27220,15647,-7472
CAL,"12/30/2019 4 a.m. EST",25767,25654,15277,-7359
CAL,"12/30/2019 5 a.m. EST",24815,24777,15039,-6681
CAL,"12/30/2019 6 a.m. EST",24277,24348,14834,-6449
CAL,"12/30/2019 7 a.m. EST",24184,24428,14069,-6382
CAL,"12/30/2019 8 a.m. EST",24808,25262,14631,-7213
CAL,"12/30/2019 9 a.m. EST",26364,27157,15236,-7727
CAL,"12/30/2019 10 a.m. EST",28750,29726,16621,-8583
CAL,"12/30/2019 11 a.m. EST",30262,31155,18167,-8963
CAL,"12/30/2019 12 p.m. EST",30790,31129,18927,-8873
CAL,"12/30/2019 1 p.m. EST",30442,30524,19811,-7903
CAL,"12/30/2019 2 p.m. EST",29792,29728,20576,-6865
CAL,"12/30/2019 3 p.m. EST",29114,28998,20942,-5999
CAL,"12/30/2019 4 p.m. EST",28701,28486,20412,-5431
CAL,"12/30/2019 5 p.m. EST",28447,28467,20111,-5808
CAL,"12/30/2019 6 p.m. EST",28644,28764,19297,-5995
CAL,"12/30/2019 7 p.m. EST",29624,29582,18254,-7510
CAL,"12/30/2019 8 p.m. EST",31564,31564,18807,-8967
CAL,"12/30/2019 9 p.m. EST",34638,34990,19963,-9816
CAL,"12/30/2019 10 p.m. EST",34943,35583,19510,-9987
CAL,"12/30/2019 11 p.m. EST",34447,35029,19212,-10029
CAL,"12/31/2019 12 a.m. EST",33678,34129,18904,-9727
